frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,Y
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52817,8000,0,1,0,0,0,0,0,1,0,1,0,0,0,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52831,8000,0,1,0,0,0,0,0,1,0,0,0,1,255,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52905,8000,0,1,0,0,0,0,0,1,0,0,0,1,256,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52904,8000,0,1,0,0,0,0,0,1,0,0,0,1,256,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52903,8000,0,1,0,0,0,0,0,1,0,0,0,1,254,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52900,8000,0,1,0,0,0,0,0,1,0,0,0,1,513,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52899,8000,0,1,0,0,0,0,0,1,0,0,0,1,513,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52901,8000,0,1,0,0,0,0,0,1,0,0,0,1,255,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52905,0,2,0,0,0,0,0,1,0,0,0,0,513,0.000145000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52904,0,2,0,0,0,0,0,1,0,0,0,0,513,0.000188000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52903,0,2,0,0,0,0,0,1,0,0,0,0,511,0.000212000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52904,0,2,0,0,0,0,0,1,0,0,0,1,513,0.000043000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52900,0,2,0,0,0,0,0,1,0,0,0,0,509,0.000243000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52899,0,2,0,0,0,0,0,1,0,0,0,0,509,0.000271000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52903,0,2,0,0,0,0,0,1,0,0,0,1,511,0.000074000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52901,0,2,0,0,0,0,0,1,0,0,0,0,507,0.000290000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52901,0,2,0,0,0,0,0,1,0,0,0,1,507,0.000312000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52905,0,2,0,0,0,0,0,1,0,0,0,1,513,0.000624000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52899,0,2,0,0,0,0,0,1,0,0,0,1,509,0.000546000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,52900,0,2,0,0,0,0,0,1,0,0,0,1,509,0.000640000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52904,8000,0,2,0,0,0,0,0,1,0,0,0,0,256,0.048511000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52904,8000,0,2,0,0,0,0,0,1,0,0,0,0,0,0.000000000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52903,8000,0,2,0,0,0,0,0,1,0,0,0,0,254,0.048456000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52901,8000,0,2,0,0,0,0,0,1,0,0,0,0,255,0.048140000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52905,8000,0,2,0,0,0,0,0,1,0,0,0,0,256,0.047973000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52899,8000,0,2,0,0,0,0,0,1,0,0,0,0,513,0.052467000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52900,8000,0,2,0,0,0,0,0,1,0,0,0,0,513,0.062601000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,52839,8000,0,1,0,0,0,0,0,1,0,1,0,0,0,0.000000000,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000,normal
66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65193,0,1,0,0,0,0,0,1,0,0,1,0,65535,0.000144000,normal
503,eth:ethertype:ip:tcp:http,20,489,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,449,1,0,0,0,0,0,1,1,0,0,0,65536,0.010366000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.103,192.168.8.104,65193,8000,0,1,0,0,0,0,0,1,0,0,0,0,65536,0.016788000,normal
54,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65193,0,450,0,0,0,0,0,1,0,0,0,0,130816,0.000184000,normal
71,eth:ethertype:ip:tcp,20,57,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65193,17,450,0,0,0,0,0,1,1,0,0,0,130816,0.232649000,normal
1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,128,6,192.168.8.104,192.168.8.103,8000,65193,1460,450,0,0,0,0,0,1,1,0,0,0,130816,0.000175000,normal
